الكلمة الأصلية	الكلمة الأصلية	الجذر	المصدر	النوع		الجمع	المؤنث	المثنى	المؤنث	العلم
أعصي	أعصي	عصو	عصى	فعل						
أفعصيت	أفعصيت	عصو	عصى	فعل						
بعصاك	بعصاك	عصو	عصا	اسم						
يعصينك	يعصينك	عصو	عصى	فعل						
يعصون	يعصون	عصو	عصى	فعل						
عصاه	عصاه	عصو	عصا	اسم						
عصاني	عصاني	عصو	عصى	فعل						
عصاك	عصاك	عصو	عصا	اسم						
عصيا	عصيا	عصو	عصي	اسم						
عصيته	عصيته	عصو	عصى	فعل						
عصوني	عصوني	عصو	عصى	فعل						
عصوك	عصوك	عصو	عصى	فعل						
فعصوا	فعصوا	عصو	عصى	فعل						
وعصيهم	وعصيهم	عصو	عصا	اسم	جمع	عصي				
يعص	يعص	عصي	عصى	فعل						
عصاي	عصاي	عصي	عصا	اسم						
عصيت	عصيت	عصي	عصى	فعل						
عصوا	عصوا	عصي	عصى	فعل						
ومعصيت	ومعصية	عصي	معصية	اسم						
والعصيان	والعصيان	عصي	عصيان	اسم						
وعصيتم	وعصيتم	عصي	عصى	فعل						
وعصينا	وعصينا	عصي	عصى	فعل						
وعصوا	وعصوا	عصي	عصى	فعل						
عضدا	عضدا	عضد	عضد	اسم						
عضدك	عضدك	عضد	عضد	اسم						
يعض	يعض	عضض	عضّ	فعل						
عضين	عضين	عضض	عضين	اسم	جمع	عضين				
عضوا	عضوا	عضض	عضّ	فعل						
تعضلوهن	تعضلوهن	عضل	عضل	فعل						
عطفه	عطفه	عطف	عطف	اسم						
عطلت	عطلت	عطل	عطلت	اسم						
معطلة	معطلة	عطل	معطلة	اسم						
أعطوا	أعطوا	عطو	أعطى	فعل						
أعطى	أعطى	عطو	أعطى	فعل						
وأعطى	وأعطى	عطو	أعطى	فعل						
أعطينك	أعطيناك	عطو	أعطى	فعل						
فتعاطى	فتعاطى	عطو	تعاطى	فعل						
عطاء	عطاء	عطو	عطاء	اسم						
عطاؤنا	عطاؤنا	عطو	عطاء	اسم						
يعطوا	يعطوا	عطو	أعطى	فعل						
يعطيك	يعطيك	عطو	أعطى	فعل						
أعظم	أعظم	عظم	أعظم	اسم						
وأعظم	وأعظم	عظم	أعظم	اسم						
العظم	العظم	عظم	عظم	اسم						
العظام	العظام	عظم	عظم	اسم	جمع	عظام				
بعظم	بعظم	عظم	عظم	اسم						
عظما	عظما	عظم	عظم	اسم						
عظامه	عظامه	عظم	عظم	اسم						
وعظما	وعظما	عظم	عظم	اسم						
العظيم	العظيم	عظم	عظيم	اسم						
عظيم	عظيم	عظم	عظيم	اسم						
عظيما	عظيما	عظم	عظيم	اسم						
يعظم	يعظم	عظم	عظم	فعل						
ويعظم	ويعظم	عظم	عظم	فعل						
عفريت	عفريت	عفرت	عفريت	اسم						
التعفف	التعفف	عفف	تعفف	اسم						
يستعففن	يستعففن	عفف	استعفف	فعل						
فليستعفف	فليستعفف	عفف	استعفف	فعل						
وليستعفف	وليستعفف	عفف	استعفف	فعل						
لعفو	لعفو	عفو	عفو	اسم						
العفو	العفو	عفو	عفو	اسم						
تعفوا	تعفوا	عفو	عفا	فعل						
يعفو	يعفو	عفو	عفا	فعل						
يعفوا	يعفوا	عفو	عفا	فعل						
يعفون	يعفون	عفو	عفا	فعل						
عفا	عفا	عفو	عفا	فعل						
عفوا	عفوا	عفو	عفوّ	فعل						
عفونا	عفونا	عفو	عفا	فعل						
فاعف	فاعف	عفو	عفا	فعل						
فاعفوا	فاعفوا	عفو	عفا	فعل						
فعفونا	فعفونا	عفو	عفا	فعل						
وليعفوا	وليعفوا	عفو	عفا	فعل						
والعافين	والعافين	عفو	عفا	فعل						
واعف	واعف	عفو	عفا	فعل						
ويعف	ويعف	عفو	عفا	فعل						
ويعفوا	ويعفوا	عفو	عفا	فعل						
نعف	نعف	عفو	عفا	فعل						
وعفا	وعفا	عفو	عفا	فعل						
عفي	عفي	عفو	عفا	فعل						
أعقباكم	أعقباكم	عقب	عقب	اسم	جمع	أعقاب				
عقبة	عقبة	عقب	عاقبة	اسم						
عقاب	عقاب	عقب	عقاب	اسم						
عقبه	عقبه	عقب	عقب	فعل						
أعقابنا	أعقابنا	عقب	عقب	اسم	جمع	أعقاب				
معقب	معقب	عقب	معقب	اسم						
معقبت	معقبات	عقب	معقب	اسم						
العقاب	العقاب	عقب	عقاب	اسم						
العقبة	العقبة	عقب	عقبة	اسم						
يعقب	يعقب	عقب	عقّب	فعل						
عاقب	عاقب	عقب	عاقب	فعل						
عاقبتم	عاقبتم	عقب	عاقب	فعل						
عوقب	عوقب	عقب	عاقب	فعل						
عوقبتم	عوقبتم	عقب	عاقب	فعل						
عقبا	عقبا	عقب	عقب	اسم						
عقبتهما	عاقبتهما	عقب	عاقبة	اسم						
عقبى	عقبى	عقب	عقبى	اسم						
عقبيه	عقبيه	عقب	عقب	اسم	مثنى			عقبان		
عقبها	عقباها	عقب	عقبى	اسم						
فأعقبهم	فأعقبهم	عقب	أعقب	فعل						
فعاقبتم	فعاقبتم	عقب	عاقب	فعل						
فعاقبوا	فعاقبوا	عقب	عاقب	فعل						
والعقبة	والعقبة	عقب	عقبة	اسم						
وعقبى	وعقبى	عقب	عقبى	اسم						
العقد	العقد	عقد	عقد	اسم						
بالعقود	بالعقود	عقد	عقد	اسم						
عقدة	عقدة	عقد	عقدة	اسم						
عقدتم	عقدتم	عقد	عقد	فعل						
عاقر	عاقر	عقر	عاقر	اسم						
عاقرا	عاقرا	عقر	عاقر	اسم						
فعقر	فعقر	عقر	عقر	فعل						
فعقروا	فعقروا	عقر	عقر	فعل						
فعقروها	فعقروها	عقر	عقر	فعل						
تعقلون	تعقلون	عقل	عقل	فعل						
يعقلون	يعقلون	عقل	عقل	فعل						
يعقلها	يعقلها	عقل	عقل	فعل						
عقلوه	عقلوه	عقل	عقل	فعل						
نعقل	نعقل	عقل	عقل	فعل						
العقيم	العقيم	عقم	عقيم	اسم						
عقيم	عقيم	عقم	عقيم	اسم						
عقيما	عقيما	عقم	عقيم	اسم						
العكف	العكف	عكف	عاكف	اسم						
عاكفا	عاكفا	عكف	عاكف	اسم						
عكفين	عاكفين	عكف	عاكف	اسم	جمع	عاكفون				
عكفون	عاكفون	عكف	عاكف	اسم	جمع	عاكفون				
والعكفين	والعاكفين	عكف	عاكف	اسم	جمع	عاكفون				
معكوفا	معكوفا	عكف	معكوف	اسم						
يعكفون	يعكفون	عكف	عكف	فعل						
لعلهم	لعلهم	عل	لعل	أداة						
لعلكم	لعلكم	عل	لعل	أداة						
لعل	لعل	عل	لعل	أداة						
لعلي	لعلي	عل	لعل	أداة						
لعله	لعله	عل	لعل	أداة						
لعلنا	لعلنا	عل	لعل	أداة						
لعلك	لعلك	عل	لعل	أداة						
فلعلك	فلعلك	عل	لعلّ	أداة						
ولعلهم	ولعلهم	عل	لعلّ	أداة						
ولعلكم	ولعلكم	عل	لعلّ	أداة						
العلقة	العلقة	علق	علقة	اسم						
كالمعلقة	كالمعلقة	علق	معلقة	اسم						
علق	علق	علق	علق	اسم						
علقة	علقة	علق	علقة	اسم						
فاعلم	فاعلم	علم	علم	فعل						
واعلم	واعلم	علم	علم	فعل						
اعلموا	اعلموا	علم	علم	فعل						
فاعلموا	فاعلموا	علم	علم	فعل						
واعلموا	واعلموا	علم	علم	فعل						
بأعلم	بأعلم	علم	أعلم	اسم						
وأعلم	وأعلم	علم	أعلم	اسم						
لتعلم	لتعلم	علم	علم	فعل						
تعلم	تعلم	علم	علم	فعل						
تعلمها	تعلمها	علم	علم	فعل						
تعلمن	تعلمن	علم	علم	فعل						
ولتعلم	ولتعلم	علم	علم	فعل						
وتعلم	وتعلم	علم	علم	فعل						
ولتعلمن	ولتعلمن	علم	علم	فعل						
لتعلموا	لتعلموا	علم	علم	فعل						
تعلموا	تعلموا	علم	علم	فعل						
تعلموهم	تعلموهم	علم	علم	فعل						
ولتعلموا	ولتعلموا	علم	علم	فعل						
أتعلمون	أتعلمون	علم	علم	فعل						
تعلمون	تعلمون	علم	علم	فعل						
تعلمونهم	تعلمونهم	علم	علم	فعل						
تعلمونهن	تعلمونهن	علم	علم	فعل						
فستعلمون	فستعلمون	علم	علم	فعل						
العلمين	العالمين	علم	عالم	اسم	جمع	عالمون				
العلمؤا	العلماء	علم	عالم	اسم	جمع	علماء				
بعلمين	بعالمين	علم	عالم	اسم	جمع	عالمون				
علماء	علماء	علم	عالم	اسم	جمع	علماء				
لعلمه	لعلمه	علم	علم	اسم						
العلم	العلم	علم	علم	اسم						
بعلمه	بعلمه	علم	علم	اسم						
علم	علم	علم	علم	اسم						
علمه	علمه	علم	علم	اسم						
علمها	علمها	علم	علم	اسم						
علمني	علمني	علم	علم	فعل						
علمكم	علمكم	علم	علم	فعل						
فعلم	فعلم	علم	علم	فعل						
وعلم	وعلم	علم	علم	فعل						
وعلمه	وعلمه	علم	علم	فعل						
وعلمك	وعلمك	علم	علم	فعل						
علمته	علمته	علم	علم	فعل						
علمتنا	علمتنا	علم	علم	فعل						
علمتك	علمتك	علم	علم	فعل						
وعلمتني	وعلمتني	علم	علم	فعل						
وعلمتم	وعلمتم	علم	علم	فعل						
علمتموهن	علمتموهن	علم	علم	فعل						
علمنه	علمناه	علم	علم	فعل						
وعلمنه	وعلمناه	علم	علم	فعل						
لعليم	لعليم	علم	عليم	اسم						
العليم	العليم	علم	عليم	اسم						
عليم	عليم	علم	عليم	اسم						
عليما	عليما	علم	عليم	اسم						
المعلوم	المعلوم	علم	معلوم	اسم						
معلومت	معلومات	علم	معلومة	اسم	جمع	معلومات				
لنعلم	لنعلم	علم	علم	فعل						
ولنعلمه	ولنعلمه	علم	علم	فعل						
نعلمهم	نعلمهم	علم	علم	فعل						
ونعلم	ونعلم	علم	علم	فعل						
فيتعلمون	فيتعلمون	علم	تعلم	فعل						
ويتعلمون	ويتعلمون	علم	تعلم	فعل						
ليعلم	ليعلم	علم	علم	فعل						
يعلم	يعلم	علم	علم	فعل						
يعلمه	يعلمه	علم	علم	فعل						
يعلمهم	يعلمهم	علم	علم	فعل						
يعلمها	يعلمها	علم	علم	فعل						
وليعلم	وليعلم	علم	علم	فعل						
ويعلم	ويعلم	علم	علم	فعل						
ويعلمه	ويعلمه	علم	علم	فعل						
ويعلمهم	ويعلمهم	علم	علم	فعل						
ويعلمك	ويعلمك	علم	علم	فعل						
ويعلمكم	ويعلمكم	علم	علم	فعل						
وسيعلم	وسيعلم	علم	علم	فعل						
يعلمان	يعلمان	علم	علم	فعل						
فليعلمن	فليعلمن	علم	علم	فعل						
وليعلمن	وليعلمن	علم	علم	فعل						
ليعلموا	ليعلموا	علم	علم	فعل						
يعلموا	يعلموا	علم	علم	فعل						
وليعلموا	وليعلموا	علم	علم	فعل						
ليعلمون	ليعلمون	علم	علم	فعل						
يعلمون	يعلمون	علم	علم	فعل						
سيعلمون	سيعلمون	علم	علم	فعل						
فيعلمون	فيعلمون	علم	علم	فعل						
فسيعلمون	فسيعلمون	علم	علم	فعل						
كالأعلم	كالأعلم	علم	أعلم	اسم						
وعلمت	وعلمت	علم	علم	فعل						
أعلنتم	أعلنتم	علن	أعلن	فعل						
تعلنون	تعلنون	علن	أعلن	فعل						
وعلانية	وعلانية	علن	علانية	اسم						
نعلن	نعلن	علن	أعلن	فعل						
يعلنون	يعلنون	علن	أعلن	فعل						
استعلى	استعلى	علو	استعلى	فعل						
الأعلون	الأعلون	علو	أعلى	اسم	جمع	أعلون				
فتعلى	فتعالى	علو	تعالى	فعل						
وتعلى	وتعالى	علو	تعالى	فعل						
ولتعلن	ولتعلن	علو	علا	فعل						
لعال	لعال	علو	عالي	اسم						
العالين	العالين	علو	عالي	اسم	جمع	عالون				
عاليا	عاليا	علو	عالي	اسم						
عالين	عالين	علو	عالي	اسم	جمع	عالون				
عالية	عالية	علو	عالية	اسم						
وعلوا	وعلوا	علو	علو	فعل						
العلي	العلي	علو	علي	اسم						
عليا	عليا	علو	علي	اسم						
العليا	العليا	علو	عليا	اسم						
المتعال	المتعال	علو	متعالي	اسم						
تعالوا	تعالوا	علو	تعال	فعل						
فتعالين	فتعالين	علو	تعال	فعل						
على	على	على	على	أداة						
عليهم	عليهم	على	على	أداة						
عليهما	عليهما	على	على	أداة						
علينا	علينا	على	على	أداة						
عليك	عليك	على	على	أداة						
عليكم	عليكم	على	على	أداة						
عليكما	عليكما	على	على	أداة						
عليون	عليون	علي	عليون	اسم						
عليين	عليين	علي	عليين	اسم						
عليه	عليه	على	على	أداة						
عليها	عليها	على	على	أداة						
عليهن	عليهن	على	على	أداة						
فعلى	فعلى	على	على	أداة						
فعليه	فعليه	على	على	أداة						
فعليهم	فعليهم	على	على	أداة						
فعليها	فعليها	على	على	أداة						
فعليهن	فعليهن	على	على	أداة						
فعليكم	فعليكم	على	على	أداة						
ولعلا	ولعلا	على	على	أداة						
وعلى	وعلى	على	على	أداة						
وعليه	وعليه	على	على	أداة						
وعليهم	وعليهم	على	على	أداة						
وعليها	وعليها	على	على	أداة						
وعلينا	وعلينا	على	على	أداة						
وعليكم	وعليكم	على	على	أداة						
متعمدا	متعمدا	عمد	متعمد	اسم						
العماد	العماد	عمد	عماد	اسم						
تعمدت	تعمدت	عمد	تعمد	فعل						
واستعمركم	واستعمركم	عمر	استعمر	فعل						
اعتمر	اعتمر	عمر	اعتمر	فعل						
وعمارة	وعمارة	عمر	عمارة	اسم						
لعمرك	لعمرك	عمر	عمر	اسم						
العمر	العمر	عمر	عمر	اسم						
عمرا	عمرا	عمر	عمر	اسم						
عمره	عمره	عمر	عمر	اسم						
عمرك	عمرك	عمر	عمر	اسم						
بالعمرة	بالعمرة	عمر	عمرة	اسم						
والعمرة	والعمرة	عمر	عمرة	اسم						
عمروها	عمروها	عمر	عمر	فعل						
وعمروها	وعمروها	عمر	عمر	فعل						
معمر	معمر	عمر	معمر	اسم						
المعمور	المعمور	عمر	معمور	اسم						
ناكسوا	ناكسوا	عمر	ناكس	فعل						
نعمره	نعمره	عمر	عمر	فعل						
نعمركم	نعمركم	عمر	عمر	فعل						
نكسوا	نكسوا	عمر	نكس	فعل						
يعمر	يعمر	عمر	عمّر	فعل						
يعمروا	يعمروا	عمر	عمّر	فعل						
عمرن	عمران	عمر	عمران	اسم	علم					عمران
عميق	عميق	عمق	عميق	اسم						
اعمل	اعمل	عمل	عمل	فعل						
عامل	عامل	عمل	عامل	اسم						
والعملين	والعاملين	عمل	عامل	اسم	جمع	عاملون				
أعملهم	أعمالهم	عمل	عمل	اسم	جمع	أعمال				
أعملنا	أعمالنا	عمل	عمل	اسم	جمع	أعمال				
أعملكم	أعمالكم	عمل	عمل	اسم	جمع	أعمال				
عملي	عملي	عمل	عمل	اسم						
والعمل	والعمل	عمل	عمل	اسم						
وعملوا	وعملوا	عمل	عمل	فعل						
فنعمل	فنعمل	عمل	عمل	فعل						
فليعمل	فليعمل	عمل	عمل	فعل						
ويعملون	ويعملون	عمل	عمل	فعل						
وعمتكم	وعماتكم	عمم	عمة	اسم	جمع	عماتكم	عم			
عمتك	عمتك	عمم	عمة	اسم						
عمتكم	عماتكم	عمم	عمة	اسم	جمع	عماتكم	عم			
عمك	عمك	عمم	عم	اسم						
يعمهون	يعمهون	عمه	عمه	فعل						
كالأعمى	كالأعمى	عمي	أعمى	اسم						
الأعمى	الأعمى	عمي	أعمى	اسم						
عمين	عمين	عمي	أعمى	اسم	جمع	عمون				
عموا	عموا	عمي	عمي	فعل						
عمون	عمون	عمي	أعمى	اسم	جمع	عمون				
فعميت	فعميت	عمي	عمي	فعل						
وأعمى	وأعمى	عمي	أعمى	اسم						
وعميانا	وعميانا	عمي	أعمى	اسم	جمع	عميان				
عنهم	عنهم	عن	عن	أداة						
عنها	عنها	عن	عن	أداة						
عنكم	عنكم	عن	عن	أداة						
عما	عما	عن	عما	أداة						
عن	عن	عن	عن	أداة						
عنه	عنه	عن	عن	أداة						
عنهما	عنهما	عن	عن	أداة						
عنك	عنك	عن	عن	أداة						
وعن	وعن	عن	عن	أداة						
أعناب	أعناب	عنب	عنب	اسم	جمع	أعناب				
وأعناب	وأعناب	عنب	عنب	اسم	جمع	أعناب				
وأعنب	وأعناب	عنب	عنب	اسم	جمع	أعناب				
وأعنبا	وأعنابا	عنب	عنب	اسم	جمع	أعناب				
والأعنب	والأعناب	عنب	عنب	اسم	جمع	أعناب				
وعنب	وعنب	عنب	عنب	اسم						
وعنبا	وعنبا	عنب	عنب	اسم						
لأعنتكم	لأعنتكم	عنت	أعنت	فعل						
لعنتم	لعنتم	عنت	لعن	فعل						
العنت	العنت	عنت	عنت	اسم						
عنتم	عنتم	عنت	عنت	فعل						
عند	عند	عند	عند	أداة						
عندنا	عندنا	عند	عند	أداة						
وعندنا	وعندنا	عند	عند	أداة						
أعنده	أعنده	عند	عند	فعل						
عندي	عندي	عند	عند	أداة						
عنيدا	عنيدا	عند	عنيد	اسم						
عنده	عنده	عند	عنده	اسم						
عندهم	عندهم	عند	عند	أداة						
عندها	عندها	عند	عند	أداة						
عندك	عندك	عند	عند	أداة						
عندكم	عندكم	عند	عند	أداة						
فعند	فعند	عند	عند	أداة						
وعنده	وعنده	عند	عند	أداة						
وعندهم	وعندهم	عند	عند	أداة						
أعناق	أعناق	عنق	عنق	اسم	جمع	أعناق				
أعناقهم	أعناقهم	عنق	عنق	اسم	جمع	أعناق				
أعنقهم	أعناقهم	عنق	عنق	اسم	جمع	أعناق				
الأعناق	الأعناق	عنق	عنق	اسم	جمع	أعناق				
عنقه	عنقه	عنق	عنق	اسم						
عنقك	عنقك	عنق	عنق	اسم						
والأعناق	والأعناق	عنق	عنق	اسم	جمع	أعناق				
العنكبوت	العنكبوت	عنكب	عنكبوت	اسم						
أعهد	أعهد	عهد	عهد	فعل						
عهدت	عاهدت	عهد	عاهد	فعل						
عهدتم	عاهدتم	عهد	عاهد	فعل						
عهدوا	عاهدوا	عهد	عاهد	فعل						
العهد	العهد	عهد	عهد	اسم						
بالعهد	بالعهد	عهد	عهد	اسم						
بعهد	بعهد	عهد	عهد	اسم						
بعهدي	بعهدي	عهد	عهد	اسم						
بعهده	بعهده	عهد	عهد	اسم						
بعهدهم	بعهدهم	عهد	عهد	اسم						
بعهدكم	بعهدكم	عهد	عهد	اسم						
عهد	عهد	عهد	عهد	اسم						
عهدا	عهدا	عهد	عهد	اسم						
عهدي	عهدي	عهد	عهد	اسم						
عهده	عهده	عهد	عهد	اسم						
عهدهم	عهدهم	عهد	عهد	اسم						
وبعهد	وبعهد	عهد	عهد	اسم						
وعهدهم	وعهدهم	عهد	عهد	اسم						
وعهدنا	وعهدنا	عهد	عهد	اسم						
كالعهن	كالعهن	عهن	عهن	اسم						
عوجا	عوجا	عوج	عوج	اسم						
أعيدوا	أعيدوا	عود	أعاد	فعل						
تعودوا	تعودوا	عود	عاد	فعل						
عائدون	عائدون	عود	عائد	اسم						
عدتم	عدتم	عود	عد	فعل						
سنعيدها	سنعيدها	عود	أعاد	فعل						
يعودوا	يعودوا	عود	عاد	فعل						
يعودون	يعودون	عود	عاد	فعل						
يعيد	يعيد	عود	أعاد	فعل						
يعيده	يعيده	عود	أعاد	فعل						
يعيدنا	يعيدنا	عود	أعاد	فعل						
يعيدكم	يعيدكم	عود	أعاد	فعل						
ويعيد	ويعيد	عود	أعاد	فعل						
يعيدوكم	يعيدوكم	عود	أعاد	فعل						
لتعودن	لتعودن	عود	عاد	فعل						
لعادوا	لعادوا	عود	عاد	فعل						
تعودون	تعودون	عود	عاد	فعل						
عيدا	عيدا	عود	عيد	اسم						
نعيده	نعيده	عود	أعاد	فعل						
نعيدكم	نعيدكم	عود	أعاد	فعل						
نعود	نعود	عود	عاد	فعل						
فاستعذ	فاستعذ	عوذ	استعذ	فعل						
أعوذ	أعوذ	عوذ	عاذ	فعل						
وأعوذ	وأعوذ	عوذ	عاذ	فعل						
أعيذها	أعيذها	عوذ	أعاذ	فعل						
معاذ	معاذ	عوذ	معاذ	اسم						
يعوذون	يعوذون	عوذ	عاذ	فعل						
بعورة	بعورة	عور	عورة	اسم						
عورت	عورات	عور	عورة	اسم	جمع	عورات				
المعوقين	المعوقين	عوق	معوق	اسم	جمع	معوقون				
تعولوا	تعولوا	عول	عال	فعل						
عائلا	عائلا	عول	عائل	اسم						
عيلة	عيلة	عول	عيلة	اسم						
عام	عام	عوم	عام	اسم						
عاما	عاما	عوم	عام	اسم						
عامهم	عامهم	عوم	عام	اسم						
استعينوا	استعينوا	عون	استعان	فعل						
واستعينوا	واستعينوا	عون	استعان	فعل						
المستعان	المستعان	عون	مستعان	اسم						
نستعين	نستعين	عون	استعان	فعل						
تعاونوا	تعاونوا	عون	تعاون	فعل						
عوان	عوان	عون	عوان	اسم						
فأعينوني	فأعينوني	عون	أعان	فعل						
وأعانه	وأعانه	عون	أعان	فعل						
وتعاونوا	وتعاونوا	عون	تعاون	فعل						
أعيبها	أعيبها	عيب	أعاب	فعل						
العير	العير	عير	عير	اسم						
والعير	والعير	عير	عير	اسم						
بعيسى	بعيسى	عيسي	عيسى	اسم	علم					عيسى
يعيسى	عيسى	عيسي	عيسى	اسم	علم					عيسى
عيسى	عيسى	عيسي	عيسى	اسم	علم					عيسى
وعيسى	وعيسى	عيسي	عيسى	اسم	علم					عيسى
عيشة	عيشة	عيش	عيشة	اسم						
معيش	معيش	عيش	معيشة	اسم						
معيشتهم	معيشتهم	عيش	معيشة	اسم						
معيشتها	معيشتها	عيش	معيشة	اسم						
معاشا	معاشا	عيش	معاش	اسم						
أعين	أعين	عين	عين	اسم	جمع	أعين				
أعينهم	أعينهم	عين	عين	اسم	جمع	أعين				
أعينهن	أعينهن	عين	عين	اسم	جمع	أعين				
أعينكم	أعينكم	عين	عين	اسم	جمع	أعين				
الأعين	الأعين	عين	عين	اسم	جمع	أعين				
العين	العين	عين	عين	اسم						
العيون	العيون	عين	عين	اسم	جمع	عيون				
بأعيننا	بأعيننا	عين	عين	اسم	جمع	أعين				
بالعين	بالعين	عين	عين	اسم						
عينا	عينا	عين	عين	اسم						
عيناه	عيناه	عين	عين	اسم	مثنى			عينان		
عينان	عينان	عين	عين	اسم	مثنى			عينان		
عيناك	عيناك	عين	عين	اسم	مثنى			عينان		
عيني	عيني	عين	عين	اسم	مثنى			عينان		
عينين	عينين	عين	عين	اسم	مثنى			عينان		
عينيك	عينيك	عين	عين	اسم	مثنى			عينان		
عينها	عينها	عين	عين	اسم						
وأعينهم	وأعينهم	عين	عين	اسم	جمع	أعين				
والعين	والعين	عين	عين	اسم						
وعيون	وعيون	عين	عين	اسم	جمع	عيون				
أفعيينا	أفعيينا	عيي	عيي	فعل						
تعبثون	تعبثون	غبث	عبث	فعل						
الغبرين	الغابرين	غبر	غابر	اسم						
التغابن	التغابن	غبن	تغابن	اسم						
غثاء	غثاء	غثو	غثاء	اسم						
يغادر	يغادر	غدر	غادر	فعل						
نغادر	نغادر	غدر	غادر	فعل						
غدقا	غدقا	غدق	غدق	اسم						
غداءنا	غداءنا	غدو	غداء	اسم						
المعتدون	المعتدون	عدو	معتدي	اسم	جمع	معتدون				
اغدوا	اغدوا	غدو	غدى	فعل						
بالغدوة	بالغدوة	غدو	غدوة	اسم						
غدا	غدا	غدو	غد	اسم						
غدوت	غدوت	غدو	غدا	فعل						
تغرب	تغرب	غرب	غرب	فعل						
الغراب	الغراب	غرب	غراب	اسم						
غرابا	غرابا	غرب	غراب	اسم						
غربت	غربت	غرب	غرب	فعل						
الغربي	الغربي	غرب	غرب	اسم						
غربية	غربية	غرب	غربية	اسم						
الغروب	الغروب	غرب	غروب	اسم						
غروبها	غروبها	غرب	غروب	اسم						
المغرب	المغرب	غرب	مغرب	اسم						
المغربين	المغربين	غرب	مغرب	اسم	مثنى			مغربان		
ومغربها	ومغاربها	غرب	مغرب	اسم	جمع	مغارب				
والمغرب	والمغرب	غرب	مغرب	اسم						
وغرابيب	وغرابيب	غربب	غراب	اسم	جمع	غرابيب				
غرور	غرور	غرر	غرور	اسم						
لنغرينك	لنغرينك	غرر	أغرى	فعل						
الغرور	الغرور	غرر	غرور	اسم						
بغرور	بغرور	غرر	غرور	اسم						
تغرنكم	تغرنكم	غرر	غرّ	فعل						
يغررك	يغررك	غرر	غرّ	فعل						
يغرنك	يغرنك	غرر	غرّ	فعل						
يغرنكم	يغرنكم	غرر	غرّ	فعل						
غر	غر	غرر	غرّ	فعل						
غرورا	غرورا	غرر	غرّ	فعل						
غرك	غرك	غرر	غرّ	فعل						
وغرتهم	وغرتهم	غرر	غرّ	فعل						
وغرتكم	وغرتكم	غرر	غرّ	فعل						
وغرهم	وغرهم	غرر	غرّ	فعل						
وغركم	وغركم	غرر	غرّ	فعل						
الغرفة	الغرفة	غرف	غرفة	اسم						
اغترف	اغترف	غرف	اغترف	فعل						
غرف	غرف	غرف	غرفة	اسم	جمع	غرف				
غرفا	غرفا	غرف	غرفة	اسم	جمع	غرف				
أغرقنا	أغرقنا	غرق	أغرق	فعل						
أغرقناهم	أغرقناهم	غرق	أغرق	فعل						
فأغرقناه	فأغرقناه	غرق	أغرق	فعل						
فأغرقناهم	فأغرقناهم	غرق	أغرق	فعل						
وأغرقنا	وأغرقنا	غرق	أغرق	فعل						
لتغرق	لتغرق	غرق	أغرق	فعل						
الغرق	الغرق	غرق	غرق	اسم						
غرقا	غرقا	غرق	غرق	اسم						
مغرقون	مغرقون	غرق	مغرق	اسم	جمع	مغرقون				
المغرقين	المغرقين	غرق	مغرق	اسم	جمع	مغرقون				
نغرقهم	نغرقهم	غرق	أغرق	فعل						
فيغرقكم	فيغرقكم	غرق	أغرق	فعل						
لمغرمون	لمغرمون	غرم	مغرم	اسم	جمع	مغرمون				
مغرم	مغرم	غرم	مغرم	اسم						
مغرما	مغرما	غرم	مغرم	اسم						
غراما	غراما	غرم	غرام	اسم						
والغرمين	والغارمين	غرم	غارم	اسم	جمع	غارمون				
فأغرينا	فأغرينا	غرو	أغرى	فعل						
غزلها	غزلها	غزل	غزل	اسم						
غزى	غزى	غزو	غزى	اسم						
غاسق	غاسق	غسق	غاسق	اسم						
غسق	غسق	غسق	غسق	اسم						
وغساق	وغساق	غسق	غساق	اسم						
وغساقا	وغساقا	غسق	غساق	اسم						
فاغسلوا	فاغسلوا	غسل	غسل	فعل						
تغتسلوا	تغتسلوا	غسل	اغتسل	فعل						
غسلين	غسلين	غسل	غسلين	اسم						
مغتسل	مغتسل	غسل	مغتسل	اسم						
واستغشوا	واستغشوا	غشو	استغشى	فعل						
أغشيت	أغشيت	غشو	أغشى	فعل						
فأغشينهم	فأغشينهم	غشو	أغشى	فعل						
تغشيها	تغشاها	غشو	تغشى	فعل						
وتغشى	وتغشى	غشو	غشى	فعل						
الغشية	الغشية	غشو	غاشية	اسم						
غشوة	غشوة	غشو	غشاوة	اسم						
فغشها	فغشاها	غشو	غشى	فعل						
غشيهم	غشيهم	غشو	غشي	فعل						
فغشيهم	فغشيهم	غشو	غشي	فعل						
المغشي	المغشي	غشو	مغشي	اسم						
يستغشون	يستغشون	غشو	استغشى	فعل						
يغشى	يغشى	غشو	غشى	فعل						
يغشه	يغشاه	غشو	غشى	فعل						
يغشهم	يغشاهم	غشو	غشى	فعل						
يغشها	يغشاها	غشو	غشى	فعل						
يغشيكم	يغشيكم	غشو	أغشى	فعل						
العشاء	العشاء	غشو	عشاء	اسم						
غواش	غواش	غشو	غاشية	اسم	جمع	غواش				
غصبا	غصبا	غصب	غصب	اسم						
الغضب	الغضب	غضب	غضب	اسم						
بغضب	بغضب	غضب	غضب	اسم						
غضب	غضب	غضب	غضب	اسم						
غضبي	غضبي	غضب	غضب	اسم						
غضبوا	غضبوا	غضب	غضب	فعل						
وغضب	وغضب	غضب	غضب	فعل						
